Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Variable: Mean value of annual precipitation across the year (mm),Description: Mean value of annual precipitation across the year (mm),Comment: Mean value of annual precipitation across the year (mm),Variable: Mean value of monthly temperature across the year (°C),Description: Mean value of monthly temperature across the year (°C),Comment: Mean value of monthly temperature across the year (°C),Variable: Variance in monthly precipitation means,Description: Variance in monthly precipitation means,Comment: Variance in monthly precipitation means
Binford Hunter-Gatherer,Ngatjan,B110,xd957,Ngatjan (B110),,,-17.36,145.56,-17.36,145.56,ngad1260,Ngadjan,,Pama-Nyungan,108216.6615,,,21.99593373,,,15161372269,,
Binford Hunter-Gatherer,Vedda,B10,xd690,Vedda (B10),Vedda,AX05,8.59,81.19,8.58,81.25,vedd1240,Veddah,ved,Indo-European,162213.5132,,,26.85556918,,,18410603364,,
Western North American Indian database,Western Apache (White Mountain),WNAI151,xd1267,White Mountain Western Apache (J151),Western,NT21,33.8,-110,33.8,110,west2615,Western Apache,apw,Athapaskan-Eyak-Tlingit,48523.23575,,,12.63651481,,,1502938242,,
Ethnographic Atlas,Ngbandi,Ai26,xd355,Ngbandi (Ai26),,,4,22,4,22,nort2774,Northern Ngbandi,ngb,Atlantic-Congo,185720.423,,,22.45053379,,,11104614185,,
Ethnographic Atlas,Western Mono,Nc23,xd1122,Monachi (Nc23),,,37,-119,37,-119,mono1275,Mono (USA),mnr,Uto-Aztecan,51759.99714,,,13.069292,,,4794279813,,
Ethnographic Atlas,Ngere,Af56,xd237,Ngere (Af56),,,7,-8,7,-8,dann1241,Dan,daf,Mande,175544.9223,,,22.87154294,,,19943006262,,
Binford Hunter-Gatherer,Western Mono,B157,xd1122,Monache (B157),,,36.6,-117.08,36.6,-117.08,mono1275,Mono (USA),mnr,Uto-Aztecan,39405.0056,,,10.94623985,,,2344090039,,
Binford Hunter-Gatherer,Ngiyambaa,B130,xd784,Wongaibon (B130),,,-32.14,146.09,-32.14,146.09,wang1291,Wangaaybuwan-Ngiyambaa,wyb,Pama-Nyungan,62328.90153,,,17.07333772,,,2239046862,,
Western North American Indian database,West Saanich,WNAI18,xd1428,West Sanetch Salish (J18),,,48.4,-123.5,48.4,123.5,saan1246,Saanich,,Salishan,126149.7607,,,9.364828704,,,10385613801,,
Ethnographic Atlas,Ngiyambaa,Id9,xd784,Wongaibon (Id9),,,-32,146,-32,146,wang1291,Wangaaybuwan-Ngiyambaa,wyb,Pama-Nyungan,62328.90153,,,17.07333772,,,2239046862,,
Binford Hunter-Gatherer,White Knife Shoshoni,B216,xd1178,White Knife Shoshoni (B216),,,41,-117.31,41,-117.31,west2622,Western Shoshoni,,Uto-Aztecan,41069.38187,,,8.54023868,,,950909737.2,,
Ethnographic Atlas,Ngizim,Cb29,xd479,Ngizim (Cb29),,,12,10,12,10,ngiz1242,Ngizim,ngi,Afro-Asiatic,63853.81797,,,25.28502416,,,4922658491,,
Western North American Indian database,White Knife Shoshoni,WNAI123,xd1178,Battle Mountain Shoshone (J123),,,40.8,-117,40.8,117,west2622,Western Shoshoni,,Uto-Aztecan,41814.03191,,,8.554911122,,,975262916.6,,
Ethnographic Atlas,Ngombe,Ae39,xd159,Ngombe (Ae39),,,2,20,2,20,binj1250,Binja,,Atlantic-Congo,188204.3181,,,22.8294213,,,7378565987,,
Ethnographic Atlas,White Knife Shoshoni,Nd43,xd1178,White Knife (Nd43),,,41,-117,41,-117,west2622,Western Shoshoni,,Uto-Aztecan,41814.03191,,,8.554911122,,,975262916.6,,
Ethnographic Atlas,Ngonde,Ad16,xd83,Ngonde (Ad16),Ngonde,FN17,-10,34,-10,34,ngon1268,Ngonde,,Atlantic-Congo,112488.8789,,,17.86562429,,,14209900804,,
Ethnographic Atlas,Kutsu,Ae22,xd141,Kutshu (Ae22),,,-4,22,-4,22,kusu1252,Kusu,ksv,Atlantic-Congo,178328.7772,,,22.58297414,,,13476513660,,
Ethnographic Atlas,Wichí,Sh1,xd1388,Mataco (Sh1),Mataco,SI07,-24,-63,-24,-63,wich1263,Wichí Lhamtés Vejoz,wlv,Matacoan,109904.987,,,20.6013233,,,9501258806,,
Ethnographic Atlas,Kutubu,Ie16,xd792,Kutubu (Ie16),,,-6,143,-6,143,foii1241,Foi,foi,East Kutubu,378359.4109,,,21.47377421,,,26448355810,,
Western North American Indian database,Kuyuidokado,WNAI116,xd1160,Kuyui-Dokado Northern Paiute (J116),Northern Paiute,NR13,40,-119.5,40,119.5,sout2967,South Northern Paiute,,Uto-Aztecan,60177.26256,,,8.037852439,,,3684626215,,
Ethnographic Atlas,Havasupai,Nd3,xd1163,Havasupai (Nd3),Plateau Yumans,NT14,36,-112,36,-112,hava1249,Havasupai,,Cochimi-Yuman,39527.90825,,,11.22766888,,,1424041228,,
Binford Hunter-Gatherer,Kuyuidokado,B208,xd1160,Kuyuidokado (Pyramid Lake Paiute) (B208),Northern Paiute,NR13,40,-119.6,40,-119.6,sout2967,South Northern Paiute,,Uto-Aztecan,74029.54734,,,8.62826562,,,6743510520,,
Ethnographic Atlas,Kuyuidokado,Nd27,xd1160,Kuyuidokado (Nd27),Northern Paiute,NR13,40,-119,40,-119,sout2967,South Northern Paiute,,Uto-Aztecan,50847.81121,,,8.135032418,,,2536279990,,
Ethnographic Atlas,Kwaio,Ig18,xd850,Kwaio (Ig18),,,-9,161,-9,161,kwai1243,Kwaio,kwd,Austronesian,283247.1737,,,27.39122825,,,16073600469,,
Western North American Indian database,Kwakiutl,WNAI10,xd1090,Fort Rupert Kwakiutl (J10),,,50.86,-127,50.8,127,kwak1269,Kwak'wala,kwk,Wakashan,179655.3942,,,6.576830492,,,15829280809,,
Ethnographic Atlas,Wichita,Nf5,xd1239,Wichita (Nf5),,,34,-98,34,-98,wich1260,Wichita,wic,Caddoan,68369.40767,,,17.27582285,,,2104661660,,
Binford Hunter-Gatherer,Kwakiutl,B288,xd1090,Kwakiutl (B288),,,50.42,-126.67,50.42,-126.67,kwak1269,Kwak'wala,kwk,Wakashan,165172.6373,,,7.5329495,,,13662879223,,
Ethnographic Atlas,Kwakiutl,Nb3,xd1090,Kwakiutl (Nb3),,,51,-127.49,51,-128,kwak1269,Kwak'wala,kwk,Wakashan,162487.7708,,,7.396170232,,,12987987920,,
Ethnographic Atlas,Ngulu,Ad51,xd122,Ngulu (Ad51),,,-6,38,-6,38,ngul1246,Ngulu,ngp,Atlantic-Congo,118774.4473,,,21.11174104,,,4557872667,,
Ethnographic Atlas,Kwere,Ad27,xd95,Kwere (Ad27),,,-7,39,-7,39,kwer1261,Kwere,cwe,Atlantic-Congo,111772.7702,,,24.29898087,,,4935576660,,
Ethnographic Atlas,Kwoma,Ie12,xd788,Kwoma (Ie12),Kwoma,OJ13,-4,142,-4,142,kwom1262,Kwoma,kmo,Sepik,383459.4102,,,20.24847439,,,23865315370,,
Standard cross-cultural sample,Kwoma,SCCS95,xd788,Kwoma (SCCS95),Kwoma,OJ13,-4.17,142.67,-4.17,142.67,kwom1262,Kwoma,kmo,Sepik,375291.9344,,,20.51632514,,,23857301913,,
Binford Hunter-Gatherer,Labrador Inuit,B372,xd1039,Labrador Inuit (B372),,,57.83,-62.32,57.97,-62.02,labr1244,Labrador Eskimo,,Eskimo-Aleut,57433.56128,,,-7.259719601,,,1016145906,,
Ethnographic Atlas,Widikum,Ae59,xd181,Eidekum (Ae59),,,6,10,6,10,meta1238,Meta',mgo,Atlantic-Congo,188116.4365,,,21.61891109,,,15530988627,,
Ethnographic Atlas,Labrador Inuit,Na23,xd1039,Labrador Eskimo (Na23),,,58,-65,58,-65,labr1244,Labrador Eskimo,,Eskimo-Aleut,63452.67222,,,-8.422747865,,,991842925.1,,
Ethnographic Atlas,Labwor,Aj22,xd398,Labwor (Aj22),,,3,34,3,34,labw1238,Labwor,lth,Nilotic,97487.20431,,,24.11172596,,,9357327292,,
Ethnographic Atlas,Ngumba,Ae42,xd163,Ngumba (Ae42),,,3,11,3,11,kwas1243,Kwasio,nmg,Atlantic-Congo,187894.3844,,,23.31469912,,,5290250794,,
Ethnographic Atlas,Lacandon,Sa10,xd1310,Lacandon (Sa10),,,17,-92,17,-92,laca1243,Lacandon,lac,Mayan,96823.55391,,,21.43231547,,,3391600773,,
Ethnographic Atlas,Laguna,Nh14,xd1264,Laguna (Nh14),,,35,-107,35,-107,acom1246,Acoma,,Keresan,55809.80708,,,8.638588868,,,1222952229,,
Ethnographic Atlas,Laka,Ai13,xd341,Laka (Ai13),,,8,16,8,16,laka1252,Laka (Nigeria),lak,Atlantic-Congo,119025.8833,,,23.44344347,,,9876478900,,
Ethnographic Atlas,Lakalai,Ig7,xd859,Lakalai (Ig7),,,-5.5,150.81,-5,151,naka1262,Nakanai,nak,Austronesian,271024.8361,,,26.31794526,,,13402360753,,
Ethnographic Atlas,Wikmunkan,Id6,xd781,Wikmunkan (Id6),,,-14,142,-14,142,wikm1247,Wik-Mungkan,wim,Pama-Nyungan,130566.8183,,,26.48136682,,,28542899597,,
Ethnographic Atlas,Lake Miwok,Nc21,xd1120,Lake Miwok (Nc21),,,38.75,-123.2,38,-123,lake1258,Lake Miwok,lmw,Miwok-Costanoan,60393.22589,,,13.99992466,,,5582387800,,
Binford Hunter-Gatherer,Lake Miwok,B170,xd1120,Lake Miwok (B170),,,38.79,-122.48,38.79,-122.48,lake1258,Lake Miwok,lmw,Miwok-Costanoan,67828.10755,,,14.81061123,,,7432805494,,
Ethnographic Atlas,Ngumbi,Ab20,xd22,Ngumbi (Ab20),,,-15,15,-15,15,nkhu1238,Nkhumbi,khu,Atlantic-Congo,112826.316,,,21.44085674,,,17203277623,,
Ethnographic Atlas,Lala,Ac33,xd59,Lala (Ac33),,,-15,31,-15,31,lala1264,Lala-Bisa,leb,Atlantic-Congo,98433.33314,,,22.17693623,,,15805294762,,
Ethnographic Atlas,Lalia,Ae23,xd142,Lalia (Ae23),,,-1,23,-1,23,ngan1302,Ngando-Lalia,nxd,Atlantic-Congo,202235.1105,,,22.6068884,,,8722354838,,
Ethnographic Atlas,Lamba,Ac5,xd71,Lamba (Ac5),,,-13,28,-13,28,lamb1271,Lamba,lam,Atlantic-Congo,123074.0292,,,17.72439901,,,20070415029,,
Standard cross-cultural sample,Lamet,SCCS72,xd716,Lamet (SCCS72),,,20,100.67,20,100.67,lame1256,Lamet,lbn,Austroasiatic,122829.7259,,,20.19001599,,,16974664416,,
Binford Hunter-Gatherer,Wikmunkan,B90,xd781,Wikmunkan (B90),,,-13.47,142,-13.47,142,wikm1247,Wik-Mungkan,wim,Pama-Nyungan,138110.6479,,,26.5744093,,,31069491952,,
Ethnographic Atlas,Lamet,Ej1,xd716,Lamet (Ej1),,,20,101,20,101,lame1256,Lamet,lbn,Austroasiatic,125905.6563,,,19.65253169,,,17970820984,,
Ethnographic Atlas,Lamotrek,If16,xd831,Lamotrek (If16),,,7.46,146.38,7,146,lamo1243,Lamotrek,,Austronesian,275682.8502,,,27.6274319,,,14694739960,,
Standard cross-cultural sample,Nicobarese,SCCS78,xd691,Nicobarese (SCCS78),,,7,93.75,7,93.75,carn1240,Car Nicobarese,caq,Austroasiatic,172234.7797,,,26.99160716,,,18646177090,,
Ethnographic Atlas,Lango,Aj4,xd409,Lango (Aj4),,,2,33,2,33,lang1324,Lango (Uganda),laj,Nilotic,121945.8672,,,22.94130619,,,13629259114,,
Binford Hunter-Gatherer,Lardil,B102,xd951,Lardil (B102),,,-16.48,139.32,-16.3,139.3,lard1243,Lardil,lbz,Tangkic,112155.3387,,,26.25293517,,,25324745363,,
Binford Hunter-Gatherer,Larikia,B83,xd938,Larikia (B83),,,-12.6,130.79,-12.6,130.78,lara1258,Laragia,lrg,Laragia,164503.1555,,,27.00744741,,,30696334877,,
Ethnographic Atlas,Lassik,Nb37,xd1098,Lassik (Nb37),,,40,-123,40,-123,wail1244,Wailaki,wlk,Athapaskan-Eyak-Tlingit,100528.5107,,,12.94194105,,,13992458477,,
Western North American Indian database,Wind River Eastern Shoshone,WNAI128,xd1201,Wind River Shoshone (J128),,,43,-109,43,109,nort2955,Northern Shoshoni,,Uto-Aztecan,49818.52917,,,2.058302962,,,723584907.3,,
Binford Hunter-Gatherer,Lassik,B167,xd1098,Lassik (B167),,,40.18,-123.16,40.18,-123.16,wail1244,Wailaki,wlk,Athapaskan-Eyak-Tlingit,100117.2599,,,12.46333292,,,12175810333,,
Ethnographic Atlas,Latvians,ch21,xd559,Latvians (ch21),,,57,24,57,24,latv1249,Latvian,lav,Indo-European,67196.26467,,,8.058242078,,,718509597,,
Ethnographic Atlas,Nicobarese,Eh5,xd691,Nicobarese (Eh5),Nicobarese,AZ07,9.17,92.77,9,92,carn1240,Car Nicobarese,caq,Austroasiatic,162840.6592,,,26.59509927,,,20262542464,,
Ethnographic Atlas,Lau,Ih4,xd870,Lau (Ih4),Lau,OQ06,-17.74,-179.31,-18,179,laua1243,Lauan,llx,Austronesian,161981.0707,,,25.60874294,,,10881084118,,
Ethnographic Atlas,Lawa,Ej12,xd719,Lawa (Ej12),,,18,98,18,98,west2396,Western Lawa,lcp,Austroasiatic,139419.5572,,,23.68888693,,,28260811769,,
Ethnographic Atlas,Lebanese,Cj7,xd593,Lebanese (Cj7),Lebanon,ME01,34,36,34,36,nort3141,North-Central Lebanese Arabic,,Afro-Asiatic,28429.43562,,,18.72723976,,,908638876.6,,
Ethnographic Atlas,Lele,Ac23,xd48,Lele (Ac23),,,-5,21,-5,21,lele1265,Lele (Democratic Republic of Congo),lel,Atlantic-Congo,171380.6937,,,22.69386099,,,13786380862,,
Binford Hunter-Gatherer,Wind River Eastern Shoshone,B227,xd1201,Wind River Shoshoni (B227),,,43.19,-108.86,43.19,-108.86,nort2955,Northern Shoshoni,,Uto-Aztecan,51389.8031,,,1.819460501,,,790715031.6,,
Ethnographic Atlas,Lenca,Sa12,xd1312,Lenca (Sa12),,,14,-88,14,-88,lenc1242,Lenca-Honduras,,Lencan,62530.65365,,,23.11981296,,,5224745040,,
Ethnographic Atlas,Lendu,Ai29,xd358,Lendu (Ai29),,,2,30,2,30,lend1245,Lendu,led,Central Sudanic,199654.5255,,,19.55026552,,,12621532848,,
Ethnographic Atlas,Nipigon,Na35,xd1051,Nipigon (Na35),Ojibwa,NG06,50,-88,50,-88,cent2136,Central Ojibwa,ojc,Algic,57656.4318,,,1.677713124,,,816123354.5,,
Ethnographic Atlas,Lenge,Ab16,xd17,Lenge (Ab16),,,-25,34,-25,34,leng1257,Lengue,,Atlantic-Congo,86587.83452,,,23.75917944,,,6753176327,,
Ethnographic Atlas,Lengua,Sh9,xd1396,Lengua (Sh9),,,-23,-59,-23,-59,leng1262,Lengua,leg,Lengua-Mascoy,94452.65002,,,25.06788413,,,5850158258,,
Standard cross-cultural sample,Lengua,SCCS182,xd1396,Lengua (SCCS182),,,-23,-58.5,-23,-58.5,leng1262,Lengua,leg,Lengua-Mascoy,97963.01778,,,24.98117625,,,6264653158,,
Standard cross-cultural sample,Lepcha,SCCS68,xd655,Lepcha (SCCS68),Lepcha,AK05,27.5,89,27.5,89,lepc1244,Lepcha,lep,Sino-Tibetan,253037.7286,,,8.303099484,,,96491128664,,
Ethnographic Atlas,Wind River Eastern Shoshone,Nd64,xd1201,Wind River (Nd64),,,43,-109,43,-109,nort2955,Northern Shoshoni,,Uto-Aztecan,49818.52917,,,2.058302962,,,723584907.3,,
Ethnographic Atlas,Lepcha,Ee3,xd655,Lepcha (Ee3),Lepcha,AK05,28,89,28,89,lepc1244,Lepcha,lep,Sino-Tibetan,193285.5531,,,2.867253677,,,52455365945,,
Ethnographic Atlas,Lese,Ai30,xd360,Lese (Ai30),,,2,29,2,29,lese1243,Lese,les,Central Sudanic,226443.0598,,,20.16360766,,,10822549845,,
Ethnographic Atlas,Hehe,Ad8,xd125,Hehe (Ad8),,,-8,35,-8,35,hehe1240,Hehe,heh,Atlantic-Congo,106154.3638,,,18.04507859,,,13269084146,,
Ethnographic Atlas,Lesu,Ig4,xd856,Lesu (Ig4),Lesu,OM24,-3.06,151.66,-3,153,nots1237,Notsi,ncf,Austronesian,221072.1203,,,27.52340448,,,9190985596,,
Standard cross-cultural sample,Lesu,SCCS97,xd856,New Ireland (SCCS97),Lesu,OM24,-2.71,151,-2.5,151,nots1237,Notsi,ncf,Austronesian,211328.1996,,,27.61679165,,,10332446044,,
Ethnographic Atlas,Lhota,Ei2,xd707,Lhota (Ei2),,,27,94,27,94,loth1237,Lotha Naga,njh,Sino-Tibetan,179460.4827,,,16.82293095,,,42894348062,,
Ethnographic Atlas,Li,Ed9,xd652,Li (Ed9),,,19,109,19,109,hlai1239,Hlai,lic,Tai-Kadai,107151.1168,,,24.26604575,,,12425114579,,
Binford Hunter-Gatherer,Wintu,B160,xd1112,Wintu (B160),,,40.9,-122.35,40.9,-122.35,nucl1651,Nuclear Wintu,,Wintuan,114975.2157,,,10.60477939,,,14794649306,,
Ethnographic Atlas,Lida Shoshoni,Nd34,xd1168,Lida Shoshoni (Nd34),Western,NT22,37,-117,37,-117,west2622,Western Shoshoni,,Uto-Aztecan,34586.5803,,,10.78357357,,,1611243635,,
Ethnographic Atlas,Lifu,Ih7,xd873,Lifu (Ih7),,,-20.94,167.23,-21,163,dehu1237,Dehu,dhv,Austronesian,106659.6467,,,23.99519318,,,8059634885,,
Binford Hunter-Gatherer,Nisenan,B163,xd1111,Nisenan (B163),,,39.03,-121.15,39.03,-121.15,nise1244,Nisenan,nsz,Maiduan,94486.99194,,,12.8604162,,,13449054583,,
Western North American Indian database,Lillooet,WNAI97,xd1207,Upper Lillooet (J97),,,50.3,-122.5,50.3,122.5,lill1248,Lillooet,lil,Salishan,111851.4861,,,2.223255567,,,6071474635,,
Binford Hunter-Gatherer,Lillooet,B276,xd1207,Lillooet (B276),,,50.46,-123,50.46,-123,lill1248,Lillooet,lil,Salishan,129476.3889,,,2.328834195,,,8649373167,,
Standard cross-cultural sample,Upolu Samoans,SCCS106,xd880,Western Samoans (SCCS106),Samoans,OU08,-13.94,-171.77,-13.75,-172,samo1305,Samoan,smo,Austronesian,219723.2625,,,26.98850408,,,12213542079,,
Ethnographic Atlas,Lillooet,Nd9,xd1207,Lillooet (Nd9),,,50.02,-124.78,50,-125,lill1248,Lillooet,lil,Salishan,195278.8429,,,4.57977803,,,20253910772,,
Ethnographic Atlas,Lipan Apache,Nh24,xd1275,Lipan (Nh24),,,30,-100,30,-100,lipa1241,Lipan Apache,apl,Athapaskan-Eyak-Tlingit,60962.95225,,,18.10995072,,,1751146875,,
Ethnographic Atlas,Wintu,Nc14,xd1112,Wintu (Nc14),,,41,-122,41,-122,nucl1651,Nuclear Wintu,,Wintuan,114675.9234,,,9.850562702,,,14695939976,,
Binford Hunter-Gatherer,Lipan Apache,B240,xd1275,Lipan Apache (B240),,,28.96,-98.48,28.96,-98.48,lipa1241,Lipan Apache,apl,Athapaskan-Eyak-Tlingit,57979.70267,,,20.31882748,,,1596129566,,
Western North American Indian database,Lipan Apache,WNAI155,xd1275,Lipan Apache (J155),,,30,-104,30,104,lipa1241,Lipan Apache,apl,Athapaskan-Eyak-Tlingit,53373.70788,,,16.34216901,,,1234047984,,
Binford Hunter-Gatherer,Heiltsuk,B283,xd1083,Bella-Bella (B283),,,52.87,-127.87,52.87,-127.87,bell1263,Bella Bella,,Wakashan,206350.8511,,,4.879895351,,,17156736561,,
Ethnographic Atlas,Liptako,Cb22,xd472,Liptako (Cb22),,,14,0,14,0,west2454,Western Niger Fulfulde,fuh,Atlantic-Congo,48870.02232,,,26.696154,,,3780596151,,
Ethnographic Atlas,Lithuanian Karaim,ch22,xd560,Lithuanian Karaim (ch22),,,55,23,55,23,kara1464,Karaim,kdr,Turkic,69880.03487,,,8.631078594,,,744371309.5,,
Ethnographic Atlas,Lithuanians,Ch9,xd573,Lithuanians (Ch9),,,55,24,55,24,lith1251,Lithuanian,lit,Indo-European,67059.22756,,,8.337742868,,,643369029.6,,
Ethnographic Atlas,Lithuanian Tatar,ch23,xd561,Lithuanian Tatar (ch23),,,55,24,55,24,west2405,Western Tatar,,Turkic,67059.22756,,,8.337742868,,,643369029.6,,
Western North American Indian database,Wintu (McCloud River),WNAI48,xd1112,McCloud River Wintu (J48),,,40.8,-122.4,40.8,122.4,nucl1651,Nuclear Wintu,,Wintuan,114975.2157,,,10.60477939,,,14794649306,,
Ethnographic Atlas,Livs,ch24,xd562,Livs (ch24),,,57,23,57,23,livv1244,Liv,liv,Uralic,65590.86145,,,8.356578215,,,785978005.3,,
Ethnographic Atlas,Lobi,Ag11,xd246,Lobi (Ag11),,,10,-4,10,-4,lobi1245,Lobi,lob,Atlantic-Congo,112869.44,,,25.25313275,,,13075485836,,
Western North American Indian database,Heiltsuk,WNAI9,xd1083,Bella Bella Kwakiutl (J9),,,52,-128,52,128,bell1263,Bella Bella,,Wakashan,173718.1015,,,7.038801943,,,14001783199,,
Ethnographic Atlas,Busama,Ie28,xd805,Busama (Ie28),,,-6.69,147.26,-7,147,buga1250,Bugawac,buk,Austronesian,302765.5696,,,21.22291932,,,25367797913,,
Ethnographic Atlas,Buye,Ac31,xd57,Buye (Ac31),,,-7,28,-7,28,buyu1239,Buyu,byi,Atlantic-Congo,149016.8983,,,22.30314478,,,23150844148,,
Ethnographic Atlas,Bwaidoga,Ig16,xd848,Bwaidoga (Ig16),,,-9.44,150.33,-9,150,bwai1242,Bwaidoka,bwd,Austronesian,197595.7326,,,25.78000239,,,12688775850,,
Western North American Indian database,Wintu (Sacramento River),WNAI49,xd1112,Sacramento River Wintu (J49),,,41.2,-122.4,41.2,122.4,nucl1651,Nuclear Wintu,,Wintuan,120003.3627,,,10.02812987,,,14901490146,,
Ethnographic Atlas,Bwaka,Ai23,xd352,Bwaka (Ai23),,,3,19,3,19,ngba1284,Ngbaka Ma'bo,nbm,Atlantic-Congo,177855.312,,,22.6887966,,,8105781235,,
Ethnographic Atlas,Byelorussians,Ch6,xd570,Byelorussians (Ch6),,,55,28,55,28,bela1254,Belarusian,bel,Indo-European,66384.92761,,,7.608240873,,,602099025.5,,
Ethnographic Atlas,Hemat,Cb14,xd463,Hemat (Cb14),,,11,20,11,20,bath1248,Batha,,Afro-Asiatic,86445.70635,,,25.24966583,,,7114028702,,
Ethnographic Atlas,Caddo,Nf14,xd1234,Caddo (Nf14),,,33,-93,33,-93,cadd1256,Caddo,cad,Caddoan,86620.64129,,,17.12168688,,,2245098474,,
Ethnographic Atlas,Cágaba,Sb2,xd1327,Cagaba (Sb2),Kogi,SC07,11,-74,11,-74,cogu1240,Cogui,kog,Chibchan,54956.90343,,,26.33105178,,,3840568518,,
Western North American Indian database,Cahto,WNAI43,xd1425,Kato Athapaskan (J43),,,39.7,-123.3,39.7,123.3,kato1244,Kato,ktw,Athapaskan-Eyak-Tlingit,92914.22238,,,12.99242095,,,11465787809,,
Western North American Indian database,Cahuilla (Desert),WNAI85,xd1131,Desert Cahuilla (J85),,,33.5,-116.2,33.5,116.2,cahu1264,Cahuilla,chl,Uto-Aztecan,18891.99227,,,18.75299654,,,925184219.5,,
Western North American Indian database,Wintu (Trinity River),WNAI47,xd1112,Trinity River Wintu (J47),,,40.6,-123.2,40.6,123.2,nucl1651,Nuclear Wintu,,Wintuan,104863.3476,,,11.94510031,,,12299550683,,
Ethnographic Atlas,Cahuilla (Desert),Nc31,xd1131,Cahuilla (Nc31),,,33,-116,33,-116,cahu1264,Cahuilla,chl,Uto-Aztecan,17000.27817,,,19.72089511,,,636797312.3,,
Binford Hunter-Gatherer,Cahuilla (Desert),B144,xd1131,Cahuilla (B144),,,33.59,-116.24,33.59,-116.24,cahu1264,Cahuilla,chl,Uto-Aztecan,21013.9124,,,18.45521998,,,1106944321,,
Ethnographic Atlas,Herero,Ab1,xd10,Herero (Ab1),,,-21,16,-21,16,here1253,Herero,her,Atlantic-Congo,52226.41738,,,21.9947192,,,4874838526,,
Western North American Indian database,Cahuilla (Mountain),WNAI87,xd1440,Mountain Cahuilla (J87),,,33.3,-116.5,33.3,116.5,cahu1264,Cahuilla,chl,Uto-Aztecan,18891.99227,,,18.75299654,,,925184219.5,,
Western North American Indian database,Cahuilla (Pass),WNAI86,xd1439,Pass Cahuilla (J86),,,33.8,-116.7,33.8,116.7,cahu1264,Cahuilla,chl,Uto-Aztecan,22265.34414,,,18.0308072,,,1310599269,,
Standard cross-cultural sample,Callinago,SCCS161,xd1326,Callinago (SCCS161),Island Carib,ST13,15.41,-61.27,15.5,-60.5,tyre1237,Tyrewuju,,Cariban,41612.62295,,,25.50682844,,,1681700105,,
Ethnographic Atlas,Callinago,Sb1,xd1326,Callinago (Sb1),Island Carib,ST13,15.41,-61.27,15,-61,tyre1237,Tyrewuju,,Cariban,41612.62295,,,25.50682844,,,1681700105,,
Western North American Indian database,Wishram,WNAI110,xd1150,Wishram (J110),,,45.5,-121.2,45.5,121.2,wasc1239,Wasco-Wishram,wac,Chinookan,103126.4931,,,8.668100362,,,8454120108,,
Binford Hunter-Gatherer,Calusa,B46,xd919,Calusa (B46),,,26.48,-81.96,-26.5,-82,calu1239,Calusa,,Unclassifiable,93194.72187,,,23.73921744,,,3004810895,,
Ethnographic Atlas,Camaracoto,Sc11,xd1337,Camaracoto (Sc11),Pemon,SS16,6,-63,6,-63,cama1252,Camaracoto,,Cariban,87646.75719,,,20.59886776,,,5307842370,,
Ethnographic Atlas,Niueans,Ii9,xd888,Niueans (Ii9),,,-19.05,-169.86,-19,-169,niue1239,Niuean,niu,Austronesian,136966.3834,,,24.96269324,,,7661467639,,
Ethnographic Atlas,Camba,Se7,xd1371,Camba (Se7),,,-18,-63,-18,-63,chiq1248,Chiquitano,cax,Chiquitano,106658.3205,,,21.28437226,,,7816122889,,
Standard cross-cultural sample,Canela,SCCS176,xd1412,Timbira (SCCS176),Canela,SO08,-6.5,-46,-6.5,-46,cane1242,Canela-Krahô,ram,Nuclear-Macro-Je,245475.6144,,,25.27181449,,,70161254041,,
Ethnographic Atlas,Canela,Sj4,xd1412,Ramcocamecra (Sj4),Canela,SO08,-7,-45,-7,-45,cane1242,Canela-Krahô,ram,Nuclear-Macro-Je,230093.1122,,,25.34380107,,,68788797471,,
Ethnographic Atlas,Cantonese,Ed16,xd644,Cantonese (Ed16),,,23,113,23,113,yuec1235,Yue Chinese,yue,Sino-Tibetan,116010.0507,,,20.61387649,,,12678356577,,
Binford Hunter-Gatherer,Wishram,B319,xd1150,Wishram (B319),,,45.72,-121.13,45.72,-121.13,wasc1239,Wasco-Wishram,wac,Chinookan,100442.6387,,,8.521556603,,,7853687817,,
Ethnographic Atlas,Carajá,Sj1,xd1407,Caraja (Sj1),Karaja,SP09,-12,-50,-12,-50,kara1500,Karajá,kpj,Nuclear-Macro-Je,128319.746,,,25.64519515,,,18172358341,,
Binford Hunter-Gatherer,Caribou Inuit,B374,xd1038,Caribou Inuit (B374),,,64.33,-96.2,64.33,-96.2,cari1277,Caribou Eskimo,,Eskimo-Aleut,31625.59989,,,-13.45039976,,,350330371.5,,
Ethnographic Atlas,Nivkh,Ec1,xd617,Gilyak (Ec1),Nivkh,RX02,53,142,53,142,gily1242,Nivkh,niv,Nivkh,53529.81596,,,-3.29322576,,,1086199659,,
Ethnographic Atlas,Caribou Inuit,Na21,xd1038,Caribou Eskimo (Na21),,,63,-96,63,-96,cari1277,Caribou Eskimo,,Eskimo-Aleut,32689.21638,,,-10.95805886,,,382069044.4,,
Ethnographic Atlas,Cariña,Sb4,xd1329,Carinya (Sb4),,,9,-64,9,-64,gali1262,Galibi Carib,car,Cariban,47313.98556,,,27.23888943,,,1538704047,,
